researcher_name,profile_url,google_scholar_id,affiliation,researcher_total_citations,researcher_keywords,researcher_homepage,paper_title,paper_citations,paper_year,paper_url,paper_abstract
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,A tutorial on visual servo control,139,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:CYCckWUYoCcC,
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,Motion primitives and 3D path planning for fast flight through a forest,133,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:WZBGuue-350C,"This paper presents two families of motion primitives for enabling fast, agile flight through a dense obstacle field. The first family of primitives consists of a time-delay dependent 3D circular path between two points in space and the control inputs required to fly the path. In particular, the control inputs are calculated using algebraic equations which depend on the flight parameters and the location of the waypoint. Moreover, the transition between successive maneuver states, where each state is defined by a unique combination of constant control inputs, is modeled rigorously as an instantaneous switch between the two maneuver states following a time delay which is directly related to the agility of the robotic aircraft. The second family consists of aggressive turn-around (ATA) maneuvers which the robot uses to retreat from impenetrable pockets of obstacles. The …"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,On the existence of nash equilibrium for a two-player pursuit—evasion game with visibility constraints,131,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:bEWYMUwI8FkC,"In this paper, we present a game-theoretic analysis of a visibility-based pursuit—evasion game in a planar environment containing obstacles. The pursuer and the evader are holonomic having bounded speeds. Both players have a complete map of the environment. Both players have omnidirectional vision and have knowledge about each other’s current position as long as they are visible to each other. The pursuer wants to maintain visibility of the evader for the maximum possible time and the evader wants to escape the pursuer’s sight as soon as possible. Under this information structure, we present necessary and sufficient conditions for surveillance and escape. We present strategies for the players that are in Nash equilibrium. The strategies are a function of the value of the game. Using these strategies, we construct a value function by integrating the adjoint equations backward in time from the termination …"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,Homography-based control scheme for mobile robots with nonholonomic and field-of-view constraints,131,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:M05iB0D1s5AC,"In this paper, we present a visual servo controller that effects optimal paths for a nonholonomic differential drive robot with field-of-view constraints imposed by the vision system. The control scheme relies on the computation of homographies between current and goal images, but unlike previous homography-based methods, it does not use the homography to compute estimates of pose parameters. Instead, the control laws are directly expressed in terms of individual entries in the homography matrix. In particular, we develop individual control laws for the three path classes that define the language of optimal paths: rotations, straight-line segments, and logarithmic spirals. These control laws, as well as the switching conditions that define how to sequence path segments, are defined in terms of the entries of homography matrices. The selection of the corresponding control law requires the homography decomposition …"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,"Bat Bot (B2), a biologically inspired flying machine",122,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:yMeIxYmEMEAC,"It is challenging to analyze the aerial locomotion of bats because of the complicated and intricate relationship between their morphology and flight capabilities. Developing a biologically inspired bat robot would yield insight into how bats control their body attitude and position through the complex interaction of nonlinear forces (e.g., aerodynamic) and their intricate musculoskeletal mechanism. The current work introduces a biologically inspired soft robot called Bat Bot (B2). The overall system is a flapping machine with 5 Degrees of Actuation (DoA). This work reports on some of the preliminary untethered flights of B2. B2 has a nontrivial morphology and it has been designed after examining several biological bats. Key DoAs, which contribute significantly to bat flight, are picked and incorporated in B2's flight mechanism design. These DoAs are: 1) forelimb flapping motion, 2) forelimb mediolateral motion (folding and …"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,Efficient search and hierarchical motion planning by dynamically maintaining single-source shortest paths trees,115,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:Tyk-4Ss8FVUC,"Hierarchical approximate cell decomposition is a popular approach to the geometric robot motion planning problem. In many cases, the search effort expended at a particular iteration can be greatly reduced by exploiting the work done during previous iterations. In this paper, we describe how this exploitation of past computation can be effected by the use of a dynamically maintained single-source shortest paths tree. We embed a single-source shortest paths tree in the connectivity graph of the approximate representation of the robot configuration space. This shortest paths tree records the most promising path to each vertex in the connectivity graph from the vertex corresponding to the robot's initial configuration. At each iteration, some vertex in the connectivity graph is replaced with a new set of vertices, corresponding to a more detailed representation of the configuration space. Our new, dynamic algorithm is then …"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,Learning generalizable vision-tactile robotic grasping strategy for deformable objects via transformer,114,2024,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:BJrgspguQaEC,"Reliable robotic grasping, especially with deformable objects such as fruits, remains a challenging task due to underactuated contact interactions with a gripper, unknown object dynamics and geometries. In this study, we propose a transformer-based robotic grasping framework for rigid grippers that leverage tactile and visual information for safe object grasping. Specifically, the transformer models learn physical feature embeddings with sensor feedback through performing two predefined explorative actions (pinching and sliding) and predict a grasping outcome through a multilayer perceptron with a given grasping strength. Using these predictions, the gripper predicts a safe grasping strength via inference. Compared with convolutional recurrent networks, the transformer models can capture the long-term dependencies across the image sequences and process spatial–temporal features simultaneously. We first …"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,A resilient and energy-aware task allocation framework for heterogeneous multirobot systems,112,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:kJDgFkosVoMC,"In the context of heterogeneous multirobot teams deployed for executing multiple tasks, this article develops an energy-aware framework for allocating tasks to robots in an online fashion. With a primary focus on long-duration autonomy applications, we opt for a survivability-focused approach. Toward this end, the task prioritization and execution—through which the allocation of tasks to robots is effectively realized—are encoded as constraints within an optimization problem aimed at minimizing the energy consumed by the robots at each point in time. In this context, an allocation is interpreted as a prioritization of a task over all others by each of the robots. Furthermore, we present a novel framework to represent the heterogeneous capabilities of the robots, by distinguishing between the features available on the robots and the capabilities enabled by these features. By embedding these descriptions within the …"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,A roadmap for us robotics–from internet to robotics 2020 edition,112,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:c1e4I3QdEKYC,"Recently, the robotics industry celebrated its 60-year anniversary. We have used robots for more than six decades to empower people to do things that are typically dirty, dull and/or dangerous. The industry has progressed significantly over the period from basic mechanical assist systems to fully autonomous cars, environmental monitoring and exploration of outer space. We have seen tremendous adoption of IT technology in our daily lives for a diverse set of support tasks. Through use of robots we are starting to see a new revolution, as we not only will have IT support from tablets, phones, computers but also systems that can physically interact with the world and assist with daily tasks, work, and leisure activities. The present document is a summary of the main societal opportunities identified, the associated challenges to deliver desired solutions and a presentation of efforts to be undertaken to ensure that US will …"
seth hutchinson,https://scholar.google.com/citations?user=-JPZ21IAAAAJ&hl=en,-JPZ21IAAAAJ,Northeastern University,33544,robotics,https://www.cc.gatech.edu/~seth/,An optimal task allocation strategy for heterogeneous multi-robot systems,109,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=-JPZ21IAAAAJ&pagesize=50&citation_for_view=-JPZ21IAAAAJ:w1MjKQ0l0TYC,"For a team of heterogeneous robots executing multiple tasks, we propose a novel algorithm to optimally allocate tasks to robots while accounting for their different capabilities. Motivated by the need that robot teams have in many real-world applications of remaining operational for long periods of time, we allow each robot to choose tasks taking into account the energy consumed by executing them, besides the global specifications on the task allocation. The tasks are encoded as constraints in an energy minimization problem solved at each point in time by each robot. The prioritization of a task over others—effectively signifying the allocation of the task to that particular robot—occurs via the introduction of slack variables in the task constraints. Moreover, the suitabilities of certain robots towards certain tasks are also taken into account to generate a task allocation algorithm for a team of robots with heterogeneous …"
